key_image_pointer,output_pointer,match_key_image_pointer
7c7e7ac5bf6ca8e0e96646f483438ad1cf1fb3437359064053c8cb3f61d92133-1,86888133,e0971f2e6c01199bae7f2269c024720ccd901a23cf019cfbd3cdd5c31100639b-1
e0971f2e6c01199bae7f2269c024720ccd901a23cf019cfbd3cdd5c31100639b-1,86869885,7c7e7ac5bf6ca8e0e96646f483438ad1cf1fb3437359064053c8cb3f61d92133-1
209bfe8e64bd7d9d82d1be670de25285c50eaa3297fa20ff637ba14a8a5caccc-1,86869605,e0971f2e6c01199bae7f2269c024720ccd901a23cf019cfbd3cdd5c31100639b-1
e0971f2e6c01199bae7f2269c024720ccd901a23cf019cfbd3cdd5c31100639b-1,86893786,209bfe8e64bd7d9d82d1be670de25285c50eaa3297fa20ff637ba14a8a5caccc-1
1df12135fb23f034e19a63e8aa99878d7e19ec4ff1c8235ad5731539bf4ff63f-2,86885807,7c7e7ac5bf6ca8e0e96646f483438ad1cf1fb3437359064053c8cb3f61d92133-1
7c7e7ac5bf6ca8e0e96646f483438ad1cf1fb3437359064053c8cb3f61d92133-1,86870001,1df12135fb23f034e19a63e8aa99878d7e19ec4ff1c8235ad5731539bf4ff63f-2
4954cc64b72019eab8b10182ca347e9dc5f553dc8ae32c3b4d7c6c5b43a0da67-2,86870908,c8327d3fc8ffd1898c06260a09248842be272355464d5d3e7e5d2f3df57060f8-2
c8327d3fc8ffd1898c06260a09248842be272355464d5d3e7e5d2f3df57060f8-2,86872598,4954cc64b72019eab8b10182ca347e9dc5f553dc8ae32c3b4d7c6c5b43a0da67-2
4b1e5893dfd7d0a33daf1d8618cc9b2dddd9d52d07fda062db8a66f202f3fb85-1,86897712,c8327d3fc8ffd1898c06260a09248842be272355464d5d3e7e5d2f3df57060f8-2
c8327d3fc8ffd1898c06260a09248842be272355464d5d3e7e5d2f3df57060f8-2,86872117,4b1e5893dfd7d0a33daf1d8618cc9b2dddd9d52d07fda062db8a66f202f3fb85-1
